1, Берлинский кинофестиваль, Золотая малина, 13
2, Монреальский кинофестиваль, Empire Awards, 2
3, Варшавский кинофестиваль, Золотой глобус, 3
3, Берлинский кинофестиваль, Золотая малина, 4
3, Монреальский кинофестиваль, Empire Awards, 12
4, Варшавский кинофестиваль, Золотая малина, 55
5, Монреальский кинофестиваль, Empire Awards, 25
6, Берлинский кинофестиваль, Золотая малина, 6
7, Берлинский кинофестиваль, Золотой глобус, 47
8, Монреальский кинофестиваль, Empire Awards, 8
9, Монреальский кинофестиваль, Empire Awards, 9
10, Берлинский кинофестиваль, Золотая малина, 10
